# Dizionario nomi di vino — formato: nome;produttore;regione
# Le righe che iniziano con # vengono ignorate.
# Seed iniziale: denominazioni italiane note + alcuni vini famosi.
# A ogni release puoi accodare i nomi confermati dal dizionario
# collaborativo (vedi supabase/dizionario-vini.sql) e alzare
# _assetVersion in lib/services/dictionary_service.dart.
Barolo;;Piemonte
Barbaresco;;Piemonte
Gattinara;;Piemonte
Ghemme;;Piemonte
Gavi;;Piemonte
Moscato d'Asti;;Piemonte
Asti Spumante;;Piemonte
Barbera d'Asti;;Piemonte
Barbera d'Alba;;Piemonte
Nebbiolo d'Alba;;Piemonte
Langhe Nebbiolo;;Piemonte
Dolcetto d'Alba;;Piemonte
Dogliani;;Piemonte
Roero;;Piemonte
Roero Arneis;;Piemonte
Nizza;;Piemonte
Alta Langa;;Piemonte
Brachetto d'Acqui;;Piemonte
Erbaluce di Caluso;;Piemonte
Ruchè di Castagnole Monferrato;;Piemonte
Franciacorta;;Lombardia
Sforzato di Valtellina;;Lombardia
Valtellina Superiore;;Lombardia
Oltrepò Pavese Metodo Classico;;Lombardia
Lugana;;Lombardia
Amarone della Valpolicella;;Veneto
Recioto della Valpolicella;;Veneto
Valpolicella Ripasso;;Veneto
Valpolicella Classico;;Veneto
Soave;;Veneto
Soave Superiore;;Veneto
Recioto di Soave;;Veneto
Bardolino;;Veneto
Custoza;;Veneto
Prosecco;;Veneto
Conegliano Valdobbiadene Prosecco Superiore;;Veneto
Asolo Prosecco;;Veneto
Ramandolo;;Friuli-Venezia Giulia
Colli Orientali del Friuli Picolit;;Friuli-Venezia Giulia
Collio;;Friuli-Venezia Giulia
Friulano;;Friuli-Venezia Giulia
Trento;;Trentino
Trentodoc;;Trentino
Teroldego Rotaliano;;Trentino
Gewürztraminer;;Alto Adige
Lagrein;;Alto Adige
Santa Maddalena;;Alto Adige
Romagna Albana;;Emilia-Romagna
Pignoletto;;Emilia-Romagna
Lambrusco di Sorbara;;Emilia-Romagna
Lambrusco Grasparossa di Castelvetro;;Emilia-Romagna
Romagna Sangiovese;;Emilia-Romagna
Brunello di Montalcino;;Toscana
Rosso di Montalcino;;Toscana
Chianti;;Toscana
Chianti Classico;;Toscana
Vino Nobile di Montepulciano;;Toscana
Rosso di Montepulciano;;Toscana
Vernaccia di San Gimignano;;Toscana
Carmignano;;Toscana
Morellino di Scansano;;Toscana
Bolgheri;;Toscana
Bolgheri Rosso;;Toscana
Maremma Toscana;;Toscana
Verdicchio dei Castelli di Jesi;;Marche
Verdicchio di Matelica;;Marche
Rosso Conero;;Marche
Offida Pecorino;;Marche
Lacrima di Morro d'Alba;;Marche
Sagrantino di Montefalco;;Umbria
Montefalco Rosso;;Umbria
Torgiano Rosso Riserva;;Umbria
Orvieto;;Umbria
Montepulciano d'Abruzzo;;Abruzzo
Montepulciano d'Abruzzo Colline Teramane;;Abruzzo
Trebbiano d'Abruzzo;;Abruzzo
Cerasuolo d'Abruzzo;;Abruzzo
Frascati Superiore;;Lazio
Cesanese del Piglio;;Lazio
Est! Est!! Est!!! di Montefiascone;;Lazio
Taurasi;;Campania
Fiano di Avellino;;Campania
Greco di Tufo;;Campania
Falanghina del Sannio;;Campania
Aglianico del Taburno;;Campania
Aglianico del Vulture;;Basilicata
Primitivo di Manduria;;Puglia
Salice Salentino;;Puglia
Castel del Monte;;Puglia
Cirò;;Calabria
Tintilia del Molise;;Molise
Biferno;;Molise
Cerasuolo di Vittoria;;Sicilia
Etna Rosso;;Sicilia
Etna Bianco;;Sicilia
Nero d'Avola;;Sicilia
Marsala;;Sicilia
Passito di Pantelleria;;Sicilia
Vermentino di Gallura;;Sardegna
Cannonau di Sardegna;;Sardegna
Vermentino di Sardegna;;Sardegna
Carignano del Sulcis;;Sardegna
Cinque Terre;;Liguria
Rossese di Dolceacqua;;Liguria
Champagne;;Francia
Bordeaux;;Francia
Bourgogne;;Francia
Chablis;;Francia
Sancerre;;Francia
Châteauneuf-du-Pape;;Francia
# Vini famosi (con produttore)
Sassicaia;Tenuta San Guido;Toscana
Tignanello;Marchesi Antinori;Toscana
Solaia;Marchesi Antinori;Toscana
Guado al Tasso;Marchesi Antinori;Toscana
Cervaro della Sala;Castello della Sala;Umbria
Ornellaia;Tenuta dell'Ornellaia;Toscana
Masseto;Masseto;Toscana
Le Pergole Torte;Montevertine;Toscana
Flaccianello della Pieve;Fontodi;Toscana
Cepparello;Isole e Olena;Toscana
Monfortino;Giacomo Conterno;Piemonte
Sperss;Gaja;Piemonte
San Leonardo;Tenuta San Leonardo;Trentino
Granato;Foradori;Trentino
Vintage Tunina;Jermann;Friuli-Venezia Giulia
Terre Alte;Livio Felluga;Friuli-Venezia Giulia
Amarone della Valpolicella;Giuseppe Quintarelli;Veneto
Kurni;Oasi degli Angeli;Marche
Montiano;Falesco;Lazio
Rosso del Conte;Tasca d'Almerita;Sicilia
Turriga;Argiolas;Sardegna
Mille e una Notte;Donnafugata;Sicilia
# --- X-Wines (licenza CC0), 19.333 vini italiani — vedi supabase/importa-xwines.sql ---
'A Naca Rosso;Calatrasi;Terre Siciliane
'a Rina Etna Rosso;Girolamo Russo;Etna
'Askos' Susumaniello;Li Veli;Salento
'Askos' Verdeca;Li Veli;Valle d'Itria
'Bionzo' Barbera d'Asti Superiore;La Carlina;Barbera d'Asti
'Giulio Ferrari' Riserva del Fondatore Collezione;Ferrari;Trento
'Giulio Ferrari' Riserva del Fondatore Rosé;Ferrari;Trento
'Giulio Ferrari' Riserva del Fondatore;Ferrari;Trento
'Inu Cannonau di Sardegna Riserva;Contini;Sardegna
'L Franc Bandit Vino da Tavola;Proprieta Sperino;Piemonte
'Luigi Bosca' Chardonnay Piemonte;Bosca;Piemonte
'Nkantu Alcamo Bianco;Principe di Corleone;Alcamo
