"name","producer","region"
"(MozArt Wine) Brunello di Montalcino","Il Paradiso di Frassina","Toscana"
"(Scream) Red Blend","Urlo","Toscana"
"‘61 Franciacorta Satèn","Guido Berlucchi","Franciacorta"
"075 Carati Cuvée Rosé Spumante","Piera Martellozzo","Trentino-Alto Adige"
"075 Carati Moscato Dolce","Piera Martellozzo","Trentino-Alto Adige"
"075 Carati Pinot Grigio Spumante","Piera Martellozzo","Trentino-Alto Adige"
"075 Carati Prosecco","Piera Martellozzo","Trentino-Alto Adige"
"089","Plozza","Valtellina"
"1 Lucrezia Millesimato Valdobbiadene Prosecco Superiore Brut","Aneri","Conegliano-Valdobbiadene Prosecco"
"1 Uno Primitivo di Manduria","Masseria La Volpe","Primitivo di Manduria"
"1 Uno Primitivo di Manduria Riserva","Masseria La Volpe","Primitivo di Manduria"
"1 Valdobbiadene Prosecco Superiore Extra Dry","Progettidivini","Conegliano-Valdobbiadene Prosecco"
"1.Brut","Lvnae","Liguria"
"1° Senso Marche Passerina","Saputi","Marche"
"100 Essenza Old Vines Primitivo di Manduria","Feudi Salentini","Puglia"
"100 Mesi Cuvée Aurora Riserva","Banfi","Toscana"
"100 Veneto Merlot","Quattro","Veneto"
"101 Moscato d'Asti","Ca’ del Baio","Moscato d'Asti"
"10th Anniversary Bolgheri Superiore","Tenuta Argentiera","Toscana"
"11 Filari Primitivo di Manduria Dolce Naturale","San Marzano","Primitivo di Manduria"
"11 Minutes Rosato","Pasqua Vigneti e Cantine","Veneto"
"110 Centodieci Riserva","Bosco","Abruzzo"
"12 e Mezzo del Salento Rosato","Varvaglione","Puglia"
"12 e Mezzo Malvasia del Salento","Varvaglione","Salento"
"12 e Mezzo Negroamaro del Salento","Varvaglione","Salento"
"12 e Mezzo Pinot Grigio di Puglia","Varvaglione","Puglia"
"12 e Mezzo Primitivo del Salento","Varvaglione","Salento"
"12 Uve Rosso Maremma Toscana","Il Paradiso di Frassina","Toscana"
"125 Uno Due Cinque Malvasia Nera del Salento","Feudi Salentini","Salento"
"125 Uno Due Cinque Primitivo del Salento","Feudi Salentini","Salento"
"1300 Toscana","Frescobaldi","Toscana"
"14 di Terra Primitivo di Manduria","Cantolio","Primitivo di Manduria"
"14 Primitivo Gioia del Colle","Polvanera","Gioia del Colle"
"14 Riserva Primitivo di Manduria","Contri","Verona"
"14 Riserva Primitivo di Manduria","Cantolio","Primitivo di Manduria"
"1489 Apollonia Vernaccia di San Gimignano","Baroncini","San Gimignano"
"150 Pignoletto Frizzante","Masselina","Emilia-Romagna"
"150+1 Barbera","Casali del Barone","Piemonte"
"158 Cabernet Sauvignon-Sangiovese","Masselina","Emilia-Romagna"
"1607 Victorya","Casa di Grazia","Sicilia"
"1623 Recioto della Valpolicella Classico","Damoli","Recioto della Valpolicella"
"1661 Nebbiolo","Boroli","Langhe"
"1689 Pinot Grigio","SalvaTerra","Delle Venezie"
"1698 Bolgheri Rosso","Tringali-Casanuova-Pietra-Nova","Bolgheri"
"17 Primitivo Gioia del Colle","Polvanera","Puglia"
"1754 Prosecco","Casa Defrà","Prosecco"
"1787 Vino Nobile di Montepulciano","Rocca delle Macìe","Vino Nobile di Montepulciano"
"1870 Gran Cuvèe Storica","Giorgi","Oltrepò Pavese"
"1888 Amarone della Valpolicella Riserva","Villa Canestrari","Amarone della Valpolicella"
"1890 Salice Salentino","Monte Tessa","Salice Salentino"
"18K Pinot Noir Brut Rosé","Sensi","Toscana"
"18K Prosecco Brut","Sensi","Prosecco"
"1908 Pinot Grigio","Casa Defrà","Veneto"
"1914 Mieru Pizzicatu Primitivo Salento","Marco Carrisi","Salento"
"1925 Pignoletto","Lombardini","Emilia-Romagna"
"1932 Riserva Primitivo di Manduria","Produttori Vini Manduria","Primitivo di Manduria"
"1954 Appassimento Limited Edition Primitivo","Sud Vini","Puglia"
"1954 Primitivo Puglia","Cantine Paradiso","Puglia"
"1960 Castelli Romani Rosso","Casata Merge","Lazio"
"1961 Salice Salentino","Nardelli","Puglia"
"2 Malvasia","Cantine due Palme","Brindisi"
"2 Valdobbiadene Prosecco Superiore Brut","Progettidivini","Conegliano-Valdobbiadene Prosecco"
"20 Ventiterre Bardolino","Zonin","Bardolino"
"20 Ventiterre Chianti","Zonin","Chianti"
"20 Ventiterre Merlot-Nero d'Avola Terre Siciliane","Zonin","Veneto"
"20 Ventiterre Montepulciano d'Abruzzo","Zonin","Montepulciano d'Abruzzo"
"20 Ventiterre Pinot Grigio","Zonin","Delle Venezie"
"24 Carati Aglianico del Taburno Rosso","Viticoltori San Martino","Taburno"
"24K","Plozza","Valtellina"
"24KT Luxury Edition Pinot Noir Brut Rosé","Sensi","Toscana"
"24kt Luxury Edition Prosecco Brut","Sensi","Prosecco"
"25 anni Montefalco Sagrantino","Arnaldo-Caprai","Montefalco Sagrantino"
"26° Primo Rive di Col San Martino Valdobbiadene","Andreola","Veneto"
"26esimo I° Rive di Col San Martino Valdobbiadene","Andreola","Veneto"
"28 Clones Poggio Ai Chiari Sangiovese Toscana","Colle Santa Mustiola","Toscana"
"28 Quintali Riserva Montepulciano d'Abruzzo","Lampato","Abruzzo"
"3 Gen Marsala Superiore Riserva Ambra Dolce","Cantine Intorcia","Marsala"
"3 Grammi Prosecco Treviso Brut","Terrae d'Argilla","Prosecco di Treviso"
"3 Millesimato Valdobbiadene Prosecco Superiore","Progettidivini","Conegliano-Valdobbiadene Prosecco"
"3 Passo Bianco","Cielo e Terra","Veneto"
"3 Passo Rosso","Cielo e Terra","Veneto"
"3 Utin Langhe Nebbiolo","Ciabot Berton","Langhe"
"3 Valdobbiadene Prosecco Superiore Brut","Aneri","Conegliano-Valdobbiadene Prosecco"
"30.03 Toscana","Terre di Fiori","Maremma Toscana"
"30° Anniversario","Epicuro","Puglia"
"35 Parallelo Primitivo del Salento","Sant'Orsola","Piemonte"
"36 Cuvée Brut","Marsuret","Conegliano-Valdobbiadene Prosecco"
"4 Maan Conegliano Valdobbiadene Prosecco Superiore Brut","Balbinot","Conegliano-Valdobbiadene Prosecco Superiore"
"41 Quarantuno Fuori dal Tempo","Terre di Bruca","Terre Siciliane"
"420 Quattro Venti Salice Salentino","Colle Al Vento","Puglia"
"420 Trebbiano d'Abruzzo","Torri","Abruzzo"
"43° Toscana Rosso","Tenute Silvio Nardi","Toscana"
"448 s.l.m. Bianco","Girlan","Südtirol-Alto Adige"
"46° Parallelo Conegliano Valdobbiadene Prosecco Superiore","Il Colle","Prosecco di Treviso"
"5 Ludoviea Millesimato Valdobbiadene Prosecco Superiore Brut","Aneri","Conegliano-Valdobbiadene Prosecco"
"5 Mesi Campania Aglianico","Paterno","Campania"
"5 Primitivo Puglia","Tagaro","Puglia"
"5 Stelle Sfursat","Nino Negri","Lombardia"
"5 Toscana","Le Boncie","Toscana"
"5 Traminer Aromatico-Zibibbo","Abbazia Santa Anastasia","Terre Siciliane"
"50 & 50","Capannelle","Toscana"
"531 Nebbiolo Spumante Rosé","Dezzani","Piemonte"
"6 Delizioso Fragolino","Giacobazzi","Emilia-Romagna"
"60 Sessantanni Limited Edition Old Vines Primitivo di Manduria","San Marzano","Puglia"
"60 Sessantanni Old Vines Primitivo di Manduria","San Marzano","Primitivo di Manduria"
"62 Anniversario Primitivo di Manduria Riserva","San Marzano","Primitivo di Manduria"
"67 Prosecco Brut","Bacio Della Luna","Prosecco"
"7 Gioioso Prosecco Blanco","Giacobazzi","Emilia-Romagna"
"72 Filara Catarratto","Cantine Paolini","Marsala"
"8 Limited Edition","Feudi Bizantini","Abruzzo"
"8 Secco Prosecco Millesimato Extra Dry","Rocca","Lombardia"
"8 Vites","Miliasso","Piemonte"
"80 Anni Barbera d'Asti Superiore","Dezzani","Barbera d'Asti"
"80 Vecchie Vigne Limited Edition","Cignomoro","Puglia"
"80 Vecchie Vigne Primitivo di Manduria Old Vines","Cignomoro","Primitivo di Manduria"
"80° Anniversario Rosso di Montepulciano","Vecchia Cantina","Rosso di Montepulciano"
"813 Riserva Chianti Rufina","Scopetani","Chianti Rùfina"
"87-87 Asolo Prosecco Superiore Extra Dry","Merlo","Prosecco"
"9 Sparkling Rosé Enjoy","94Wines","Veneto"
"9.99 Ruchè","Sant’Agata","Ruchè"
"90 Novantaceppi Fiano","Latentia Winery","Puglia"
"90 Novantaceppi Primitivo","Latentia Winery","Puglia"
"A Amarone della Valpolicella","Alpha Zeta","Amarone della Valpolicella"
"A Gino Chianti Rufina Riserva","Dreolino","Chianti"
"A Mare Primitivo","Terra Rossa","Salento"
"A Mare Rosato","Terra Rossa","Puglia"
"'A Naca Rosso","Calatrasi","Terre Siciliane"
"A Passion Donna Blu Moscato d'Asti","Tre Donne","Langhe"
"A Passo Lento","Vecchia Torre","Puglia"
"A Quo Toscana","Montepeloso","Toscana"
"'a Rina Etna Rosso","Girolamo Russo","Etna"
"A Solo Maremma Toscana","Tenute Guicciardini Strozzi","San Gimignano"
"A Taj Piemonte Chardonnay","Cascina Castlet","Asti"
"A.BP. Metodo Classico Millesimato Extra Brut Rosé","Il Pollenza","Marche"
"A.R. Lessini Durello","Marcato","Veneto"
"A50 Amarone della Valpolicella","Tinazzi","Amarone della Valpolicella"
"Ab Vinĕa Doni","Falchini","San Gimignano"
"Abaco Uve Pinot Nero","Villa Fiorita","Asti"
"Abate di Sant'Agnese Chianti Classico","Sant'Agnese","Chianti"
"Abate Pallia Marche Merlot","Saputi","Marche"
"Abate Pietro","Le Corti dei Farfensi","Marche"
"Abramo","Le Rive","Veneto"
"Accerto Nebbiolo d'Alba","Giribaldi","Piemonte"
"Acciaiolo","Castello di Albola","Toscana"
"Achelo Rosso","La Braccesca","Cortona"
"Achenio Bolgheri Bianco","Campo Alla Sughera","Bolgheri"
"Acinaia Vernaccia di San Gimignano","Teruzzi & Puthod","Vernaccia di San Gimignano"
"Acinatico Amarone della Valpolicella Classico","Stefano Accordini","Amarone della Valpolicella Classico"
"Acinatico Recioto della Valpolicella Classico","Stefano Accordini","Recioto della Valpolicella"
"Acinatico Recioto di Soave","Collis","Colli Berici"
"Acinatico Valpolicella Classico Superiore Ripasso","Stefano Accordini","Valpolicella Classico"
"Acinatium","Suavia","Soave"
"Acini Ameni Valpolicella Superiore Valpantena Ripasso","Corte Figaretto","Valpolicella Valpantena"
"Acini Spargoli Primitivo di Manduria Riserva","Antico Palmento","Primitivo di Manduria"
"Acininobili","Maculan","Breganze"
"Acquerello Grecanico-Chardonnay","Barone Montalto","Sicilia"
"Acquerello Grillo-Sauvignon Blanc","Barone Montalto","Terre Siciliane"
"Acquerello Nero d'Avola","Barone Montalto","Terre Siciliane"
"Acquerello Nero d'Avola Rosato","Barone Montalto","Terre Siciliane"
"Acquerello Nero d'Avola-Merlot","Barone Montalto","Terre Siciliane"
"Acquerello Pinot Grigio","Barone Montalto","Terre Siciliane"
"Acquerello Syrah","Barone Montalto","Terre Siciliane"
"Acquerello Vermentino","Barone Montalto","Terre Siciliane"
"Acrobata Sangiovese","Pian del Crognolo","Maremma Toscana"
"Acsé Barbera d'Asti Superiore","Scrimaglio","Monferrato"
"Ad Agio Montecucco Sangiovese Riserva","Azienda Biologica Basile","Toscana"
"Ad Astra Maremma Toscana","Nittardi","Maremma Toscana"
"Adacio Merlot-Cabernet Sauvignon","Lidl","Terre Siciliane"
"Adamantea Passerina","Cocci Grifoni","Marche"
"Addumari Cabernet-Syrah","Capocroce","Terre Siciliane"
"Adelasia Cortese Piemonte","San Silvestro","Piemonte"
"Adènzia Bianco","Baglio del Cristo di Campobello","Terre Siciliane"
"Adèo Bolgheri","Campo Alla Sughera","Bolgheri"
"Adeodato Rosso Conero","Monte Schiavo","Marche"
"Adler Grüner Veltliner","Kellerei Eisacktal-Cantina Valle Isarco","Südtirol-Alto Adige"
"Adorato Appassionato Bianco","Tommasi","Veneto"
"Adoro Conegliano Valdobbiadene Prosecco Superiore Extra Dry","Col di Rocca","Conegliano-Valdobbiadene Prosecco Superiore"
"Adrano Montepulciano d'Abruzzo Colline Teramane Riserva","Villamedoro","Montepulciano d'Abruzzo Colline Teramane"
"Aetneus Etna Rosso","I Custodi","Etna"
"Afix Riesling","Jermann","Friuli-Venezia Giulia"
"Agabito Vernaccia di San Gimignano","Casale di Mannino","Vernaccia di San Gimignano"
"Agamium Colline Novaresi","Cantalupo","Piemonte"
"Aged in Oak Salice Salentino","La Casada","Salice Salentino"
"Ageno","La Stoppa","Emilia"
"Aglianico","La Dormiente","Falanghina del Beneventano"
"Aglianico","Carraia in Fonteroma","Puglia"
"Aglianico","Massimo Leone","Puglia"
"Aglianico","Orgoglio","Puglia"
"Aglianico","Vinosia","Campania"
"Aglianico","Borgo di Colloredo","Molise"
"Aglianico","Cantine Minini","Lazio"
"Aglianico","Moio","Campania"
"Aglianico","Koiné","Salento"
"Aglianico Ancella","Casa Rovigatti","Conegliano-Valdobbiadene Prosecco"
"Aglianico Beneventano","Epicuro","Puglia"
"Aglianico Beneventano","Bellamico","Terre Siciliane"
"Aglianico Beneventano","Cantina di Solopaca","Campania"
"Aglianico Beneventano","Lapilli","Campania"
"Aglianico Beneventano","Vesevo","Campania"
"Aglianico Beneventano","Carraia in Fonteroma","Falanghina del Beneventano"
"Aglianico Beneventano","Feudi del Duca","Lazio"
"Aglianico Beneventano","La Cacciatora","Piemonte"
"Aglianico Beneventano","La Vinicola del Titerno","Falanghina del Beneventano"
"Aglianico Beneventano","Antico Portico","Salento"
"Aglianico Beneventano","Le Terre del Normanno","Montepulciano d'Abruzzo"
"Aglianico Beneventano","De Falco","Campania"
"Aglianico Beneventano","Casteltorre","Veneto"
"Aglianico Beneventano","Tenuta Milina 28","Fiano di Avellino"
"Aglianico Beneventano","Michele Romano","Campania"
"Aglianico Beneventano","Milianti","Falanghina del Beneventano"
"Aglianico Beneventano","Le Vie Dell Uva","Langhe"
"Aglianico Beneventano","Iorio","Campania"
"Aglianico Beneventano","La Fortezza","Campania"
"Aglianico Biorganic","Di Majo Norante","Molise"
"Aglianico Campania","Macchialupa","Campania"
"Aglianico Campania","Terredora","Campania"
"Aglianico Campania","Cantina Isola Di Capri","Campania"
"Aglianico Campania","Mastroberardino","Campania"
"Aglianico Campania","Antica Fattoria","Campania"
"Aglianico Campania","Il Cancelliere","Campania"
"Aglianico Campania","Ettore Sammarco","Campania"
"Aglianico Campania","Ponte Pellegrino","Campania"
"Aglianico Campania","Livia Antica","Campania"
"Aglianico Campania","Montesole","Campania"
